date;Rainfall;WindSpd.Avg;WindDir.Avg;Radiation.Avg;AirTemp.Avg;Humidity.Avg
01/01/2022 00:00;0,00;1,67;176,00;0,00;11,80;59,22
01/01/2022 01:00;0,00;1,55;265,83;0,00;10,67;68,57
01/01/2022 02:00;0,00;3,40;265,33;0,00;9,75;70,27
01/01/2022 03:00;0,00;3,10;263,00;0,00;10,13;65,10
01/01/2022 04:00;0,00;1,80;124,83;0,00;10,23;64,53
01/01/2022 05:00;0,00;1,25;239,67;1,33;9,92;65,87
01/01/2022 06:00;0,00;0,72;148,17;115,50;10,47;64,90
01/01/2022 07:00;0,00;1,62;184,50;286,83;12,83;56,42
01/01/2022 08:00;0,00;3,40;231,33;597,67;13,48;55,28
01/01/2022 09:00;0,00;2,50;188,33;814,17;15,43;48,97
01/01/2022 10:00;0,00;1,98;215,33;984,50;17,82;40,78
01/01/2022 11:00;0,00;1,97;242,50;1102,67;19,47;33,60
01/01/2022 12:00;0,00;2,07;177,67;1138,83;21,12;26,33
01/01/2022 13:00;0,00;2,30;155,00;1101,00;22,25;18,95
01/01/2022 14:00;0,00;2,80;219,17;965,67;23,17;17,08
01/01/2022 15:00;0,00;2,77;216,83;485,50;22,57;18,53
01/01/2022 16:00;0,00;2,08;190,83;153,00;20,95;23,38
01/01/2022 17:00;0,00;4,88;318,33;282,83;19,12;25,22
01/01/2022 18:00;0,00;3,22;283,83;66,83;18,33;24,60
01/01/2022 19:00;0,00;4,35;210,17;0,00;15,13;39,75
01/01/2022 20:00;0,00;2,70;165,67;0,00;14,27;43,67
01/01/2022 21:00;0,00;3,40;185,33;0,00;13,03;50,52
01/01/2022 22:00;0,00;1,55;139,17;0,00;13,07;49,38
01/01/2022 23:00;0,00;2,78;245,33;0,00;11,58;61,83
02/01/2022 00:00;0,00;1,32;225,67;0,00;10,17;66,37
02/01/2022 01:00;0,00;0,73;150,67;0,00;9,55;68,50
02/01/2022 02:00;0,00;1,20;103,83;0,00;9,55;68,47
02/01/2022 03:00;0,00;1,17;175,50;0,00;9,90;67,20
02/01/2022 04:00;0,00;0,83;121,83;0,00;9,13;70,83
02/01/2022 05:00;0,00;0,98;125,67;1,83;8,93;71,62
02/01/2022 06:00;0,00;0,72;143,00;119,50;10,78;64,52
02/01/2022 07:00;0,00;0,98;206,00;357,17;14,88;49,68
02/01/2022 08:00;0,00;1,45;249,83;597,50;17,35;40,35
02/01/2022 09:00;0,00;1,83;247,17;813,83;18,90;32,62
02/01/2022 10:00;0,00;2,08;192,83;985,33;20,03;30,53
02/01/2022 11:00;0,00;2,18;215,33;1062,17;21,37;26,78
02/01/2022 12:00;0,00;2,03;222,50;711,33;21,63;24,82
02/01/2022 13:00;0,00;2,53;194,33;1211,50;23,62;18,78
02/01/2022 14:00;0,00;2,97;192,67;954,83;24,12;15,42
02/01/2022 15:00;0,00;2,98;194,33;472,83;23,75;18,40
02/01/2022 16:00;0,00;2,93;191,00;289,00;22,40;19,53
02/01/2022 17:00;0,00;2,23;225,50;252,00;21,73;20,23
02/01/2022 18:00;0,00;1,68;208,33;66,33;20,03;29,72
02/01/2022 19:00;0,00;1,62;203,67;1,17;17,78;44,95
02/01/2022 20:00;0,00;2,17;141,83;0,00;16,37;56,02
02/01/2022 21:00;0,00;1,73;152,00;0,00;14,83;67,45
02/01/2022 22:00;0,00;2,23;156,17;0,00;13,48;77,00
02/01/2022 23:00;0,00;1,35;213,67;0,00;12,50;84,50
03/01/2022 00:00;0,00;0,87;181,67;0,00;12,32;85,17
03/01/2022 01:00;0,00;1,32;204,17;0,00;11,92;89,30
03/01/2022 02:00;0,00;1,57;202,83;0,00;11,47;89,38
03/01/2022 03:00;0,00;0,87;223,83;0,00;11,25;88,00
03/01/2022 04:00;0,00;0,77;137,33;0,00;10,57;89,35
03/01/2022 05:00;0,00;0,73;225,17;1,00;10,02;92,38
03/01/2022 06:00;0,00;0,63;187,83;107,00;10,33;93,32
03/01/2022 07:00;0,00;1,28;234,17;310,83;12,80;79,27
03/01/2022 08:00;0,00;1,40;222,33;611,50;15,45;62,83
03/01/2022 09:00;0,00;1,90;249,17;847,67;17,97;49,98
03/01/2022 10:00;0,00;2,07;223,17;1017,33;19,53;27,03
03/01/2022 11:00;0,00;3,02;257,00;1077,33;20,50;22,20
03/01/2022 12:00;0,00;2,82;238,50;1130,33;21,88;15,27
03/01/2022 13:00;0,00;3,45;148,00;1131,50;21,57;18,32
03/01/2022 14:00;0,00;3,52;246,83;674,33;20,50;23,77
03/01/2022 15:00;0,00;3,55;246,17;288,83;19,97;25,85
03/01/2022 16:00;0,00;3,18;120,83;84,50;16,83;37,65
03/01/2022 17:00;0,20;3,23;171,83;134,83;14,18;52,53
03/01/2022 18:00;0,00;1,93;108,83;57,17;14,57;46,63
03/01/2022 19:00;0,00;0,58;139,83;0,83;13,50;52,05
03/01/2022 20:00;0,00;1,57;160,83;0,00;13,15;53,92
03/01/2022 21:00;0,00;1,93;171,17;0,00;11,83;63,82
03/01/2022 22:00;0,00;1,20;38,67;0,00;11,52;66,65
03/01/2022 23:00;0,00;0,88;169,00;0,00;10,72;72,10
04/01/2022 00:00;0,00;1,20;111,17;0,00;10,93;70,52
04/01/2022 01:00;0,00;0,75;90,67;0,00;10,83;70,82
04/01/2022 02:00;0,00;0,70;67,17;0,00;10,33;72,72
04/01/2022 03:00;0,00;1,03;126,50;0,00;9,53;76,17
04/01/2022 04:00;0,00;0,97;123,17;0,00;9,28;74,43
04/01/2022 05:00;0,00;0,90;66,33;0,83;8,50;80,20
04/01/2022 06:00;0,00;0,70;195,00;107,33;9,45;78,10
04/01/2022 07:00;0,00;1,08;212,67;342,83;11,95;67,57
04/01/2022 08:00;0,00;1,52;228,83;578,17;13,87;58,45
04/01/2022 09:00;0,00;1,68;255,00;808,67;15,55;50,95
04/01/2022 10:00;0,00;1,93;232,00;974,33;17,30;46,10
04/01/2022 11:00;0,00;2,13;182,00;1090,00;19,43;37,30
04/01/2022 12:00;0,00;2,77;211,67;873,00;20,08;34,75
04/01/2022 13:00;0,00;4,37;270,00;729,67;18,35;34,78
04/01/2022 14:00;0,00;3,80;129,83;575,50;17,87;36,17
04/01/2022 15:00;0,00;2,73;143,33;912,33;17,78;41,27
04/01/2022 16:00;0,00;3,08;178,33;278,83;16,52;40,43
04/01/2022 17:00;0,00;2,08;189,33;278,17;17,20;40,62
04/01/2022 18:00;0,00;2,28;149,17;32,33;15,98;44,63
04/01/2022 19:00;0,00;2,23;84,33;1,00;14,27;49,02
04/01/2022 20:00;0,00;2,13;135,83;0,00;13,18;56,85
04/01/2022 21:00;0,00;1,67;181,33;0,00;11,92;66,85
04/01/2022 22:00;0,00;0,80;265,17;0,00;11,32;70,05
04/01/2022 23:00;0,00;0,80;214,33;0,00;10,33;76,85
05/01/2022 00:00;0,00;0,63;178,00;0,00;10,17;76,55
05/01/2022 01:00;0,00;0,70;161,67;0,00;9,60;80,45
05/01/2022 02:00;0,00;0,63;156,17;0,00;9,37;80,52
05/01/2022 03:00;0,00;0,93;206,17;0,00;8,90;83,95
05/01/2022 04:00;0,00;0,92;87,17;0,00;8,77;83,83
05/01/2022 05:00;0,00;1,48;140,00;0,33;8,37;86,18
05/01/2022 06:00;0,00;0,45;266,83;62,67;8,10;88,78
05/01/2022 07:00;0,00;0,93;211,00;184,67;9,48;85,23
05/01/2022 08:00;0,00;1,32;242,33;449,67;11,65;72,43
05/01/2022 09:00;0,00;1,80;165,50;658,00;13,35;64,18
05/01/2022 10:00;0,00;1,92;185,17;798,50;15,00;57,50
05/01/2022 11:00;0,00;2,08;192,33;728,33;16,35;51,83
05/01/2022 12:00;0,00;2,50;188,83;917,83;18,57;41,20
05/01/2022 13:00;0,00;2,75;217,17;1044,17;20,03;34,63
05/01/2022 14:00;0,00;2,95;173,83;907,67;20,15;36,20
05/01/2022 15:00;0,00;3,32;183,83;812,50;19,68;37,85
05/01/2022 16:00;0,00;2,98;171,17;464,83;19,62;35,77
05/01/2022 17:00;0,00;2,87;142,00;116,17;16,53;41,55
05/01/2022 18:00;0,00;2,33;61,50;28,50;15,18;44,13
05/01/2022 19:00;0,00;2,07;156,50;0,17;13,80;54,12
05/01/2022 20:00;0,00;2,43;144,17;0,00;12,27;63,98
05/01/2022 21:00;0,00;2,12;119,00;0,00;11,30;70,37
